G,w,k,B,E,Exp_B,Pred_B
65536,4,4,12,1551.81,0.75,0.89
65536,4,4,16,936.63,0.69,0.89
65536,4,4,20,941.69,0.6,0.89
65536,4,4,24,881.43,0.67,0.89
65536,4,4,28,854.68,0.54,0.89
65536,16,4,12,1681.67,0.75,0.8
65536,16,4,16,1088.41,0.69,0.8
65536,16,4,20,884.64,0.6,0.8
65536,16,4,24,917.45,0.58,0.8
65536,16,4,28,879.87,0.54,0.8
65536,64,4,12,1671.32,0.83,0.73
65536,64,4,16,1137.69,0.69,0.73
65536,64,4,20,1001.52,0.7,0.73
65536,64,4,24,966.35,0.67,0.73
65536,64,4,28,999.88,0.5,0.73
65536,4,6,12,698.63,0.83,0.89
65536,4,6,16,384.88,0.75,0.89
65536,4,6,20,316.91,0.7,0.89
65536,4,6,24,306.97,0.67,0.89
65536,4,6,28,302.63,0.61,0.89
65536,16,6,12,666.35,0.83,0.8
65536,16,6,16,372.29,0.75,0.8
65536,16,6,20,324.21,0.7,0.8
65536,16,6,24,294.93,0.67,0.8
65536,16,6,28,287.17,0.68,0.8
65536,64,6,12,674.3,0.83,0.73
65536,64,6,16,388.36,0.75,0.73
65536,64,6,20,343.46,0.65,0.73
65536,64,6,24,318.56,0.67,0.73
65536,64,6,28,299.21,0.64,0.73
65536,4,8,12,568.52,0.83,0.89
65536,4,8,16,306.8,0.75,0.89
65536,4,8,20,245.22,0.7,0.89
65536,4,8,24,227.88,0.67,0.89
65536,4,8,28,230.69,0.64,0.89
65536,16,8,12,549.72,0.83,0.8
65536,16,8,16,277.04,0.75,0.8
65536,16,8,20,232.05,0.7,0.8
65536,16,8,24,223.78,0.67,0.8
65536,16,8,28,225.03,0.64,0.8
65536,64,8,12,518.36,0.83,0.73
65536,64,8,16,281.68,0.75,0.73
65536,64,8,20,238.75,0.7,0.73
65536,64,8,24,215.81,0.67,0.73
65536,64,8,28,217.18,0.64,0.73
