G,w,k,B,E,Exp_B,Pred_B
65536,4,4,12,348.69,0.75,0.89
65536,4,4,16,207.7,0.69,0.89
65536,4,4,20,181.11,0.65,0.89
65536,4,4,24,180.0,0.58,0.89
65536,4,4,28,176.05,0.54,0.89
65536,16,4,12,355.82,0.75,0.8
65536,16,4,16,219.07,0.69,0.8
65536,16,4,20,188.02,0.65,0.8
65536,16,4,24,187.11,0.58,0.8
65536,16,4,28,185.38,0.54,0.8
65536,64,4,12,388.33,0.75,0.73
65536,64,4,16,264.02,0.69,0.73
65536,64,4,20,226.56,0.65,0.73
65536,64,4,24,217.08,0.58,0.73
65536,64,4,28,218.77,0.54,0.73
65536,4,6,12,82.45,0.92,0.89
65536,4,6,16,24.08,0.81,0.89
65536,4,6,20,14.81,0.75,0.89
65536,4,6,24,12.92,0.71,0.89
65536,4,6,28,12.28,0.68,0.89
65536,16,6,12,82.69,0.92,0.8
65536,16,6,16,24.32,0.81,0.8
65536,16,6,20,15.01,0.75,0.8
65536,16,6,24,13.0,0.71,0.8
65536,16,6,28,12.38,0.68,0.8
65536,64,6,12,82.82,0.92,0.73
65536,64,6,16,24.42,0.81,0.73
65536,64,6,20,15.02,0.75,0.73
65536,64,6,24,13.07,0.71,0.73
65536,64,6,28,12.63,0.68,0.73
65536,4,8,12,48.67,1.0,0.89
65536,4,8,16,7.71,0.94,0.89
65536,4,8,20,3.13,0.85,0.89
65536,4,8,24,2.37,0.79,0.89
65536,4,8,28,2.2,0.71,0.89
65536,16,8,12,49.32,1.0,0.8
65536,16,8,16,7.82,0.94,0.8
65536,16,8,20,3.25,0.85,0.8
65536,16,8,24,2.45,0.75,0.8
65536,16,8,28,2.26,0.71,0.8
65536,64,8,12,49.31,1.0,0.73
65536,64,8,16,7.83,0.94,0.73
65536,64,8,20,3.23,0.85,0.73
65536,64,8,24,2.46,0.79,0.73
65536,64,8,28,2.28,0.71,0.73
